project_id,project_name,project_type,location,client_type,contract_value,planned_start_date,planned_end_date,actual_start_date,actual_end_date,planned_duration_days,actual_duration_days,project_complexity,project_manager_id,project_status,delay_days,delay_flag
PRJ-0001,Commercial Development 001,Commercial,North Coast,Private Investor,86619624.01,2018-11-30,2020-12-23,2018-11-16,2020-12-19,754,764,HIGH,EMP-01435,COMPLETED,-4,0
PRJ-0002,Mixed Use Development 002,Mixed Use,New Capital,Government,58200120.02,2025-10-19,2026-09-13,2025-10-24,2026-09-13,329,324,MEDIUM,EMP-00887,ACTIVE,0,0
PRJ-0003,Hospital Development 003,Hospital,Giza,Government,46515993.14,2019-08-18,2021-01-06,2019-08-20,2021-01-07,507,506,LOW,EMP-00136,COMPLETED,1,0
PRJ-0004,Educational Development 004,Educational,New Capital,International Contractor,23779601.38,2021-06-07,2023-04-07,2021-06-17,2023-06-03,669,716,HIGH,EMP-00734,COMPLETED,57,1
PRJ-0005,Educational Development 005,Educational,New Cairo,Real Estate Developer,44722148.21,2018-10-19,2021-01-28,2018-10-22,2021-01-26,832,827,MEDIUM,EMP-00454,COMPLETED,-2,0
PRJ-0006,Hospital Development 006,Hospital,North Coast,International Contractor,10483121.72,2017-12-04,2019-12-27,2017-11-30,2019-12-25,753,755,HIGH,EMP-01684,COMPLETED,-2,0
PRJ-0007,Industrial Development 007,Industrial,Hurghada,Real Estate Developer,42290278.1,2018-11-25,2022-03-15,2018-12-01,2022-03-18,1206,1203,HIGH,EMP-01330,COMPLETED,3,0
PRJ-0008,Hospital Development 008,Hospital,North Coast,Real Estate Developer,12751024.15,2017-05-10,2019-08-08,2017-06-06,2019-08-04,820,789,MEDIUM,EMP-01309,COMPLETED,-4,0
PRJ-0009,Hospital Development 009,Hospital,Ain Sokhna,Industrial Company,39793944.15,2022-04-04,2024-09-20,2022-04-19,2024-10-21,900,916,HIGH,EMP-01966,COMPLETED,31,1
PRJ-0010,Residential Development 010,Residential,Giza,Industrial Company,10888143.71,2017-07-22,2020-10-28,2017-08-03,2021-01-04,1194,1250,HIGH,EMP-01011,COMPLETED,68,1
PRJ-0011,Mixed Use Development 011,Mixed Use,Hurghada,Private Investor,38140041.17,2018-08-02,2019-10-19,2018-08-02,2019-11-01,443,456,MEDIUM,EMP-01435,COMPLETED,13,0
PRJ-0012,Residential Development 012,Residential,Hurghada,Industrial Company,30201061.32,2021-03-27,2022-07-08,2021-03-30,2022-07-10,468,467,LOW,EMP-01261,COMPLETED,2,0
PRJ-0013,Infrastructure Development 013,Infrastructure,New Cairo,International Contractor,7128487.38,2020-06-23,2021-01-09,2020-06-15,2021-01-13,200,212,LOW,EMP-01529,COMPLETED,4,0
PRJ-0014,Educational Development 014,Educational,Giza,Private Investor,13294414.69,2019-08-02,2022-08-03,2019-07-24,2022-07-30,1097,1102,HIGH,EMP-00912,COMPLETED,-4,0
PRJ-0015,Infrastructure Development 015,Infrastructure,Alexandria,Private Investor,13334297.65,2021-05-25,2022-07-29,2021-05-31,2022-08-02,430,428,MEDIUM,EMP-01327,COMPLETED,4,0
PRJ-0016,Hospital Development 016,Hospital,Giza,Private Investor,19013206.46,2017-10-20,2019-09-15,2017-10-27,2019-12-26,695,790,MEDIUM,EMP-01322,COMPLETED,102,1
PRJ-0017,Residential Development 017,Residential,North Coast,Government,12739888.64,2025-10-13,2026-12-12,2025-10-13,2026-12-13,425,426,MEDIUM,EMP-01182,ACTIVE,1,0
PRJ-0018,Industrial Development 018,Industrial,Cairo,Government,33049395.96,2017-08-14,2020-04-06,2017-09-17,2020-04-01,966,927,MEDIUM,EMP-00883,COMPLETED,-5,0
PRJ-0019,Educational Development 019,Educational,Alexandria,Industrial Company,31569798.01,2020-02-24,2022-10-13,2020-02-23,2022-10-11,962,961,MEDIUM,EMP-00044,COMPLETED,-2,0
PRJ-0020,Industrial Development 020,Industrial,Ain Sokhna,Government,6859895.02,2019-12-31,2021-12-31,2019-12-29,2021-12-27,731,729,LOW,EMP-00488,COMPLETED,-4,0
PRJ-0021,Infrastructure Development 021,Infrastructure,North Coast,Private Investor,90350919.1,2025-09-11,2028-04-25,2025-08-30,2028-05-17,957,991,HIGH,EMP-00620,ACTIVE,22,1
PRJ-0022,Mixed Use Development 022,Mixed Use,New Capital,International Contractor,61317326.56,2019-10-06,2021-09-05,2019-10-08,2021-09-10,700,703,MEDIUM,EMP-01873,COMPLETED,5,0
PRJ-0023,Residential Development 023,Residential,Alexandria,Industrial Company,6729843.35,2018-06-10,2019-01-12,2018-07-08,2019-01-16,216,192,MEDIUM,EMP-00447,COMPLETED,4,0
PRJ-0024,Educational Development 024,Educational,Alexandria,Industrial Company,30080344.25,2023-04-13,2024-07-11,2023-05-04,2024-11-01,455,547,MEDIUM,EMP-00011,COMPLETED,113,1
PRJ-0025,Educational Development 025,Educational,Hurghada,Real Estate Developer,108311529.96,2018-06-16,2020-06-13,2018-06-16,2020-06-15,728,730,LOW,EMP-01750,COMPLETED,2,0
PRJ-0026,Commercial Development 026,Commercial,Alexandria,Real Estate Developer,22790791.11,2021-09-28,2023-05-28,2021-09-30,2023-09-10,607,710,HIGH,EMP-01002,COMPLETED,105,1
