material_id,material_code,material_name,category,unit,standard_price,criticality,lead_time_days,minimum_order_quantity
MAT-0001,MAT-CODE-00001,Cooling Tower,HVAC,KG,12588.82,MEDIUM,77,20
MAT-0002,MAT-CODE-00002,Chiller,HVAC,SET,3582.29,HIGH,47,13
MAT-0003,MAT-CODE-00003,Structural Steel,Civil,UNIT,5250.25,MEDIUM,83,40
MAT-0004,MAT-CODE-00004,Structural Steel,Civil,KG,7106.4,LOW,80,7
MAT-0005,MAT-CODE-00005,Waterproofing Material,Civil,UNIT,2487.59,MEDIUM,68,7
MAT-0006,MAT-CODE-00006,Structural Steel,Civil,SET,3456.0,HIGH,34,47
MAT-0007,MAT-CODE-00007,Fire Fighting Pump,Fire Fighting,TON,41841.65,LOW,62,37
MAT-0008,MAT-CODE-00008,Structural Steel,Civil,METER,9099.54,MEDIUM,72,19
MAT-0009,MAT-CODE-00009,Fire Fighting Pump,Fire Fighting,METER,9420.02,MEDIUM,22,94
MAT-0010,MAT-CODE-00010,Fire Fighting Pump,Fire Fighting,SET,8460.42,HIGH,69,83
MAT-0011,MAT-CODE-00011,Fire Alarm Panel,Fire Fighting,SET,11747.89,MEDIUM,28,64
MAT-0012,MAT-CODE-00012,Ventilation Fan,HVAC,UNIT,6562.45,LOW,70,66
MAT-0013,MAT-CODE-00013,Sprinkler,Fire Fighting,KG,2594.43,HIGH,42,4
MAT-0014,MAT-CODE-00014,Fan Coil Unit,HVAC,UNIT,12942.59,HIGH,77,56
MAT-0015,MAT-CODE-00015,Cooling Tower,HVAC,KG,10008.87,MEDIUM,51,79
MAT-0016,MAT-CODE-00016,Transformer,Electrical,UNIT,11590.9,MEDIUM,27,41
MAT-0017,MAT-CODE-00017,Waterproofing Material,Civil,SET,8080.11,LOW,8,91
MAT-0018,MAT-CODE-00018,Circuit Breaker,Electrical,TON,5759.12,MEDIUM,89,66
MAT-0019,MAT-CODE-00019,Fire Extinguisher,Fire Fighting,METER,3418.46,HIGH,17,11
MAT-0020,MAT-CODE-00020,Cooling Tower,HVAC,TON,3073.58,MEDIUM,81,50
MAT-0021,MAT-CODE-00021,Concrete,Civil,KG,4453.81,HIGH,41,24
MAT-0022,MAT-CODE-00022,Transformer,Electrical,TON,1156.19,MEDIUM,32,12
MAT-0023,MAT-CODE-00023,Lighting Fixture,Electrical,KG,3367.2,CRITICAL,63,76
MAT-0024,MAT-CODE-00024,Rebar,Civil,TON,1932.14,HIGH,67,27
MAT-0025,MAT-CODE-00025,Air Handling Unit,HVAC,UNIT,873.65,CRITICAL,42,72
MAT-0026,MAT-CODE-00026,Lighting Fixture,Electrical,KG,1157.41,LOW,4,76
MAT-0027,MAT-CODE-00027,Sprinkler,Fire Fighting,METER,24386.35,MEDIUM,57,10
MAT-0028,MAT-CODE-00028,Water Tank,Plumbing,UNIT,6124.16,MEDIUM,18,49
MAT-0029,MAT-CODE-00029,Fan Coil Unit,HVAC,TON,1497.03,LOW,11,79
MAT-0030,MAT-CODE-00030,Fan Coil Unit,HVAC,SET,1240.55,MEDIUM,56,59
MAT-0031,MAT-CODE-00031,Distribution Board,Electrical,KG,6724.51,CRITICAL,44,7
MAT-0032,MAT-CODE-00032,Fan Coil Unit,HVAC,KG,7438.39,MEDIUM,17,57
MAT-0033,MAT-CODE-00033,Fire Extinguisher,Fire Fighting,SET,3244.26,LOW,31,85
MAT-0034,MAT-CODE-00034,Fire Hose Reel,Fire Fighting,UNIT,5750.54,HIGH,50,14
MAT-0035,MAT-CODE-00035,Circuit Breaker,Electrical,TON,4657.42,LOW,61,73
MAT-0036,MAT-CODE-00036,Drainage Fixture,Plumbing,TON,2983.06,LOW,87,23
MAT-0037,MAT-CODE-00037,Distribution Board,Electrical,KG,2161.62,MEDIUM,35,46
MAT-0038,MAT-CODE-00038,Waterproofing Material,Civil,METER,7222.46,CRITICAL,57,51
MAT-0039,MAT-CODE-00039,Rebar,Civil,UNIT,3118.22,CRITICAL,17,30
